features,matches,model,accuracy,logloss,rps,brier,calibration
new,100,gradient_boosting,0.6072545205352906,0.8483029942844121,0.16022085903625194,0.163911051543942,0.08069490234867623
new,100,lgbm,0.5993634850867401,0.9010648389315964,0.1679899860643925,0.17430540385841153,0.09655612911019479
new,100,logistic_regression,0.592086401217766,1.0013845920385462,0.1760651100022295,0.1829544138389253,0.13026011968575127
new,200,gradient_boosting,0.6380906678133637,0.8186582639800942,0.15645128474025707,0.15761764873540304,0.07012711210947724
new,200,lgbm,0.6302854711342613,0.8183416929766177,0.15556506601439904,0.1587381935231358,0.05154152931363228
new,200,logistic_regression,0.6092504763029815,0.8406448883801111,0.15963904060542491,0.16381849614158991,0.05994237868235811
new,500,gradient_boosting,0.6516527846301187,0.7807934111129349,0.14657183552321487,0.15165806705716736,0.04590057657720217
new,500,lgbm,0.6487845434624171,0.7824278507118458,0.14708837399593733,0.151716278312597,0.028335901554939747
new,500,logistic_regression,0.6182635470950321,0.8154612303017178,0.15651394473508257,0.15989713602987765,0.0639374771964105
old,100,gradient_boosting,0.6117398006169764,0.8831515699201251,0.1693906336426671,0.16991522732784511,0.09723134254850284
old,100,lgbm,0.5887476818422799,0.9760356632108326,0.1753990944613091,0.18197204305243408,0.13611553037501975
old,100,logistic_regression,0.556408538586775,1.0129028379609697,0.18556479950267613,0.1912934729819233,0.16534425829306448
old,200,gradient_boosting,0.6273420188542813,0.8235450470023614,0.15581429820811266,0.1584276691640296,0.06443858811583102
old,200,lgbm,0.6154239188504799,0.8311178916327795,0.15648023278762385,0.16200531526090803,0.0918179619640692
old,200,logistic_regression,0.5923353336491655,0.8489387580622496,0.15750974864406692,0.16567513253169988,0.11025184078529814
old,500,gradient_boosting,0.6474781591426261,0.7806866550593548,0.14731090498598154,0.15131644784772227,0.0337563765065087
old,500,lgbm,0.6455198089310743,0.7738811844319025,0.1463884023954199,0.1508391164477985,0.05057691383104474
old,500,logistic_regression,0.6263761283199677,0.7971783450211734,0.15248966870286343,0.1566748346206813,0.04744639637079978
